VRP,CALSHOT BEACH,CALSHOT BEACH,50.8125,-1.310833
VRP,CANAL BEND,CANAL BEND,51.650556,-0.426944
VRP,CANFIELD A120/B1256 INTERCHANGE,CANFIELD A120/B1256 INTERCHANGE,51.870478,0.323103
VRP,CAP DE LA HAGUE,CAP DE LA HAGUE,49.716667,-1.933333
VRP,CARDIFF DOCKS,CARDIFF DOCKS,51.456667,-3.151667
VRP,CARROWKEEL,CARROWKEEL,55.125,-7.195
VRP,CARTERET LIGHTHOUSE,CARTERET LIGHTHOUSE,49.373333,-1.806667
VRP,CASQUETS LIGHTHOUSE,CASQUETS LIGHTHOUSE,49.722222,-2.376944
VRP,CASTLETOWN (DISUSED AD),CASTLETOWN (DISUSED AD),58.585278,-3.350278
VRP,CAWDOR CASTLE,CAWDOR CASTLE,57.523333,-3.928333
VRP,CHAIN BAR ROUNDABOUT (CBR),CHAIN BAR ROUNDABOUT (CBR),53.736667,-1.726389
VRP,CHARLBURY,CHARLBURY,51.871667,-1.481667
VRP,CHEDDAR RESERVOIR,CHEDDAR RESERVOIR,51.279722,-2.801389
VRP,CHELMSFORD,CHELMSFORD,51.733333,0.473333
VRP,CHEW VALLEY,CHEW VALLEY,51.325,-2.595
VRP,CHIPPENHAM,CHIPPENHAM,51.46,-2.123333
VRP,CHIPPING ONGAR A414/B184 INTERCHANGE,CHIPPING ONGAR A414/B184 INTERCHANGE,51.712656,0.245006
VRP,CHURCH BROUGHTON (DISUSED AD),CHURCH BROUGHTON (DISUSED AD),52.886111,-1.698333
VRP,CHURCHILL,CHURCHILL,51.333333,-2.793333
VRP,CLATWORTHY RESERVOIR,CLATWORTHY RESERVOIR,51.072994,-3.369217
VRP,CLAUDY CROSSROADS,CLAUDY CROSSROADS,54.911667,-7.153333
VRP,CLEVEDON,CLEVEDON,51.439167,-2.851389
VRP,CLIFTON SUSPENSION BRIDGE,CLIFTON SUSPENSION BRIDGE,51.455,-2.627778
VRP,CLUNTOE (DISUSED AD),CLUNTOE (DISUSED AD),54.620556,-6.533889
VRP,COBBINSHAW RESERVOIR,COBBINSHAW RESERVOIR,55.807778,-3.566667
VRP,COLERAINE A37 BRIDGE,COLERAINE A37 BRIDGE,55.123333,-6.669722
VRP,COLTISHALL (DISUSED AD),COLTISHALL (DISUSED AD),52.753056,1.355278
VRP,COMBER,COMBER,54.550833,-5.745833
VRP,CONGLETON,CONGLETON,53.165,-2.180833
VRP,CORBIERE LIGHTHOUSE,CORBIERE LIGHTHOUSE,49.179722,-2.25
VRP,COWES,COWES,50.761464,-1.293092
VRP,CREDITON,CREDITON,50.790556,-3.651389
VRP,CULLODEN VIADUCT,CULLODEN VIADUCT,57.477778,-4.0625
VRP,CULLOMPTON,CULLOMPTON,50.857778,-3.393889
VRP,CULZEAN BAY,CULZEAN BAY,55.369444,-4.768056
VRP,CUMNOCK (A70 ROUNDABOUT),CUMNOCK (A70 ROUNDABOUT),55.453889,-4.284167
VRP,DALKEITH,DALKEITH,55.893333,-3.068333
VRP,DALMELLINGTON (B741 ROUNDABOUT),DALMELLINGTON (B741 ROUNDABOUT),55.323333,-4.397222
VRP,DALRYMPLE (B742 JUNCTION),DALRYMPLE (B742 JUNCTION),55.397222,-4.5925
VRP,DANESHILL LAKES,DANESHILL LAKES,53.360278,-0.935278
VRP,DEBDEN (DISUSED AD),DEBDEN (DISUSED AD),51.991958,0.274828
VRP,DERWENT RESERVOIR,DERWENT RESERVOIR,54.866667,-1.98
VRP,DEWSBURY (DBY),DEWSBURY (DBY),53.691667,-1.635
VRP,DIAMOND HANGAR (HANGAR 8),DIAMOND HANGAR (HANGAR 8),51.877778,0.235833
VRP,DINGWALL STADIUM,DINGWALL STADIUM,57.595556,-4.419167
VRP,DIVIS,DIVIS,54.6075,-6.009444
VRP,DOONFOOT (MILLENNIUM BRIDGE),DOONFOOT (MILLENNIUM BRIDGE),55.440278,-4.650833
VRP,DORES,DORES,57.381944,-4.331944
VRP,DORKING,DORKING,51.226944,-0.335
VRP,DOVESTONES RESERVOIRS,DOVESTONES RESERVOIRS,53.5375,-1.97
VRP,DRAYCOTE WATER,DRAYCOTE WATER,52.326111,-1.326389
VRP,DRESWICK POINT LIGHTHOUSE,DRESWICK POINT LIGHTHOUSE,54.055,-4.625
VRP,DUMBARTON,DUMBARTON,55.944444,-4.568333
VRP,DUNCANSBY HEAD LIGHTHOUSE,DUNCANSBY HEAD LIGHTHOUSE,58.643889,-3.025278
VRP,DUNGIVEN,DUNGIVEN,54.928333,-6.925
VRP,DUNMAGLASS WINDFARM,DUNMAGLASS WINDFARM,57.242222,-4.255556
VRP,DURHAM,DURHAM,54.773889,-1.576667
VRP,EAST KILBRIDE,EAST KILBRIDE,55.763889,-4.172222
VRP,EAST NAILSEA,EAST NAILSEA,51.43,-2.735
VRP,ECCUP RESERVOIR (ECP),ECCUP RESERVOIR (ECP),53.871111,-1.543333
VRP,ELLESMERE LAKE,ELLESMERE LAKE,52.906389,-2.883333
VRP,ELSHAM WOLDS,ELSHAM WOLDS,53.608611,-0.428056
VRP,EPPING,EPPING,51.7,0.111111
VRP,ERSKINE BRIDGE,ERSKINE BRIDGE,55.920278,-4.462778
VRP,EXMOUTH,EXMOUTH,50.624722,-3.402222
VRP,FARINGDON,FARINGDON,51.655,-1.586667
VRP,FARMOOR RESERVOIR,FARMOOR RESERVOIR,51.753333,-1.356667
VRP,FARNHAM CASTLE,FARNHAM CASTLE,51.218611,-0.802222
VRP,FIDDLERS FERRY POWER STATION,FIDDLERS FERRY POWER STATION,53.371775,-2.687786
VRP,FLAT HOLM LIGHTHOUSE,FLAT HOLM LIGHTHOUSE,51.375556,-3.118611
VRP,FLEET POND,FLEET POND,51.288611,-0.824722
VRP,FLEETWOOD (GOLF COURSE),FLEETWOOD (GOLF COURSE),53.918889,-3.045278
VRP,FLINT BRIDGE,FLINT BRIDGE,53.229444,-3.066667
VRP,FOOT,FOOT,59.028611,-2.806389
VRP,FORT LE MARCHANT,FORT LE MARCHANT,49.508889,-2.518611
VRP,FORTH ROAD BRIDGE (NORTH TOWER),FORTH ROAD BRIDGE (NORTH TOWER),56.006111,-3.403889
VRP,FRANKLEY RESERVOIRS,FRANKLEY RESERVOIRS,52.420278,-1.998611
VRP,FREMONT TV MAST,FREMONT TV MAST,49.251667,-2.131389
VRP,FRENSHAM GREAT POND,FRENSHAM GREAT POND,51.154444,-0.791667
VRP,FRODSHAM HILL,FRODSHAM HILL,53.287153,-2.724797
VRP,GAINSBOROUGH,GAINSBOROUGH,53.392778,-0.770833
VRP,GARSTANG MARINA,GARSTANG MARINA,53.905417,-2.791722
VRP,GARSTON DOCKS,GARSTON DOCKS,53.352767,-2.906767
VRP,GLENGORMLEY M2/J4,GLENGORMLEY M2/J4,54.680556,-5.981667
VRP,GLOSSOP,GLOSSOP,53.440556,-1.917778
VRP,GODSTONE RAILWAY STATION,GODSTONE RAILWAY STATION,51.218056,-0.051111
VRP,GOLF COURSE,GOLF COURSE,51.666667,-0.215556
VRP,GOOLE DOCKS,GOOLE DOCKS,53.696944,-0.877778
VRP,GREENOCK,GREENOCK,55.947222,-4.751389
VRP,GRIM'S TOWER,GRIM'S TOWER,51.622903,-0.356547
VRP,GROOMSPORT,GROOMSPORT,54.675,-5.618056
